,CustomerID,Count,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Label,Churn Value,Churn Score,CLTV,Churn Reason
11,6047-YHPVI,1,0,0,Los Angeles,90039,"34.110845, -118.259595",34.110845,-118.259595,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,69.7,316.9,1,1,66,2454,Competitor offered higher download speeds
12,5380-WJKOV,1,0,0,Los Angeles,90041,"34.137412, -118.207607",34.137412,-118.207607,0,0,0,1,34,0,1,0,0,1,1,0,1,1,0,0,0,106.35,3549.25,1,1,65,2941,Competitor offered higher download speeds
13,8168-UQWWF,1,0,0,Los Angeles,90042,"34.11572, -118.192754",34.11572,-118.192754,1,0,0,1,11,0,1,0,0,0,1,0,1,1,0,0,2,97.85,1105.4,1,1,70,5674,Competitor offered more data
14,7760-OYPDY,1,0,0,Los Angeles,90056,"33.987945, -118.370442",33.987945,-118.370442,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,80.65,144.15,1,1,90,5586,Competitor offered more data
15,9420-LOJKX,1,0,0,Los Angeles,90061,"33.92128, -118.274186",33.92128,-118.274186,1,0,0,1,15,0,0,0,1,1,0,0,1,1,0,0,3,99.1,1426.4,1,1,82,2966,Competitor offered more data
16,7495-OOKFY,1,0,0,Los Angeles,90063,"34.044271, -118.185237",34.044271,-118.185237,1,1,1,1,8,0,1,0,0,1,0,0,0,0,0,0,3,80.65,633.3,1,1,69,5302,Competitor made better offer
17,1658-BYGOY,1,0,0,Los Angeles,90065,"34.108833, -118.229715",34.108833,-118.229715,0,1,0,1,18,0,1,0,0,0,0,0,1,1,0,0,0,95.45,1752.55,1,1,81,3179,Competitor made better offer
18,5698-BQJOH,1,0,0,Beverly Hills,90211,"34.063947, -118.383001",34.063947,-118.383001,1,0,0,1,9,0,1,0,0,0,0,0,1,1,0,1,0,94.4,857.25,1,1,96,5571,Price too high
19,5919-TMRGD,1,0,0,Huntington Park,90255,"33.97803, -118.217141",33.97803,-118.217141,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,79.35,79.35,1,1,87,2483,Product dissatisfaction
20,9191-MYQKX,1,0,0,Lynwood,90262,"33.923573, -118.200669",33.923573,-118.200669,1,0,1,1,7,0,0,0,0,0,1,0,0,0,0,0,2,75.15,496.9,1,1,70,3457,Service dissatisfaction
21,8637-XJIVR,1,0,0,Marina Del Rey,90292,"33.977468, -118.445475",33.977468,-118.445475,1,0,0,1,12,0,1,0,1,0,0,0,0,0,0,0,0,78.95,927.35,1,1,86,5806,Lack of self-service on Website
22,0278-YXOOG,1,0,0,Inglewood,90301,"33.956445, -118.358634",33.956445,-118.358634,0,0,0,0,5,0,0,2,2,2,2,2,2,2,0,1,1,21.05,113.85,1,1,66,2604,Network reliability
23,4598-XLKNJ,1,0,0,Inglewood,90303,"33.936291, -118.332639",33.936291,-118.332639,1,1,1,1,25,0,0,0,0,1,1,0,1,1,0,0,0,98.5,2514.5,1,1,88,5337,Limited range of services
24,3192-NQECA,1,0,0,Santa Monica,90403,"34.031529, -118.491156",34.031529,-118.491156,0,0,1,0,68,0,1,0,0,1,1,1,1,1,1,0,2,110.0,7611.85,1,1,86,5034,Lack of affordable download/upload speed
25,0486-HECZI,1,0,0,Torrance,90504,"33.867257, -118.330794",33.867257,-118.330794,0,0,1,1,55,0,1,0,1,1,0,0,1,0,0,0,0,96.75,5238.9,1,1,75,5154,Long distance charges
26,4846-WHAFZ,1,0,0,Whittier,90602,"33.972119, -118.020188",33.972119,-118.020188,1,1,1,1,37,0,1,0,0,0,0,0,0,0,0,0,0,76.5,2868.15,1,1,67,2793,Extra data charges
27,5299-RULOA,1,0,0,Whittier,90606,"33.976678, -118.065875",33.976678,-118.065875,1,0,1,1,10,0,1,0,1,0,0,0,1,1,0,0,0,100.25,1064.65,1,1,87,5998,Price too high
28,0404-SWRVG,1,0,0,La Habra,90631,"33.940619, -117.9513",33.940619,-117.9513,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,74.4,229.55,1,1,76,4415,Product dissatisfaction
29,4412-YLTKF,1,0,0,Pico Rivera,90660,"33.989524, -118.089299",33.989524,-118.089299,1,1,0,1,27,0,1,0,0,0,1,0,0,0,0,0,0,78.05,2135.5,1,1,95,4638,Service dissatisfaction
30,6207-WIOLX,1,0,0,Avalon,90704,"33.391181, -118.421305",33.391181,-118.421305,1,0,1,0,25,1,2,1,1,1,1,0,1,1,0,0,3,58.6,1502.65,1,1,99,4190,Lack of self-service on Website
31,3091-FYHKI,1,0,0,Harbor City,90710,"33.798266, -118.300237",33.798266,-118.300237,0,0,0,0,1,1,2,1,0,0,0,0,0,1,0,0,0,35.45,35.45,1,1,80,2301,Network reliability
32,2372-HWUHI,1,0,0,Lakewood,90712,"33.840524, -118.148403",33.840524,-118.148403,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,44.35,81.25,1,1,76,2570,Don't know
33,0390-DCFDQ,1,0,0,Los Alamitos,90720,"33.79499, -118.065591",33.79499,-118.065591,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,70.45,70.45,1,1,76,3964,Don't know
34,4080-OGPJL,1,0,0,San Pedro,90731,"33.736387, -118.284363",33.736387,-118.284363,1,0,0,0,8,0,1,1,1,0,0,1,0,1,0,1,0,71.15,563.65,1,1,66,2662,Don't know
35,2135-RXIHG,1,0,0,Carson,90745,"33.822295, -118.26411",33.822295,-118.26411,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,45.65,45.65,1,1,73,2600,Poor expertise of online support
36,3874-EQOEP,1,0,0,Long Beach,90804,"33.783047, -118.1486",33.783047,-118.1486,0,0,0,1,7,0,1,0,0,0,0,0,1,1,0,1,1,95.0,655.5,1,1,94,2786,Poor expertise of phone support
37,0867-MKZVY,1,0,0,Altadena,91001,"34.196837, -118.142236",34.196837,-118.142236,1,0,1,1,20,0,1,0,1,0,0,0,0,0,0,1,0,82.4,1592.35,1,1,86,5719,Price too high
38,3376-BMGFE,1,0,0,Monrovia,91016,"34.1528, -118.000482",34.1528,-118.000482,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,70.9,273.0,1,1,75,4287,Product dissatisfaction
39,3445-HXXGF,1,0,0,Sierra Madre,91024,"34.168686, -118.057505",34.168686,-118.057505,0,1,1,0,58,1,2,1,0,1,1,0,0,1,0,0,0,45.3,2651.2,1,1,100,5444,Service dissatisfaction
40,1875-QIVME,1,0,0,Tujunga,91042,"34.296574, -118.244839",34.296574,-118.244839,1,0,1,1,2,0,1,0,0,0,1,1,1,1,0,0,0,104.4,242.8,1,1,83,4690,Lack of self-service on Website
41,0691-JVSYA,1,0,0,Pasadena,91103,"34.167465, -118.165327",34.167465,-118.165327,1,0,1,0,53,0,0,0,0,0,1,0,1,1,2,0,2,94.85,5000.2,1,1,80,4328,Network reliability
42,2656-FMOKZ,1,0,0,Pasadena,91106,"34.139402, -118.128658",34.139402,-118.128658,1,1,0,1,15,0,1,0,0,0,0,0,0,0,0,0,1,74.45,1145.7,1,1,99,5717,Limited range of services
43,2070-FNEXE,1,0,0,Pasadena,91107,"34.159007, -118.087353",34.159007,-118.087353,1,1,0,1,7,0,0,0,1,0,0,0,0,0,0,1,2,76.45,503.6,1,1,81,4419,Lack of affordable download/upload speed
44,6317-YPKDH,1,0,0,Glendale,91202,"34.167926, -118.267539",34.167926,-118.267539,1,0,0,0,1,1,2,1,0,1,0,0,0,0,0,1,2,29.95,29.95,1,1,95,4534,Long distance charges
45,9367-WXLCH,1,0,0,Glendale,91204,"34.136306, -118.26036",34.136306,-118.26036,0,0,0,1,8,0,1,0,0,0,0,0,0,1,0,1,2,84.5,662.65,1,1,86,2152,Extra data charges
46,1918-ZBFQJ,1,0,0,Glendale,91206,"34.162515, -118.203869",34.162515,-118.203869,1,0,0,1,13,0,0,0,0,1,1,0,0,0,0,0,0,79.25,1111.65,1,1,73,5142,Price too high
47,1024-GUALD,1,0,0,Glendale,91207,"34.182378, -118.262922",34.182378,-118.262922,1,0,1,0,1,1,2,1,0,0,0,0,0,0,0,0,0,24.8,24.8,1,1,94,4851,Product dissatisfaction
48,2472-OVKUP,1,0,0,Canoga Park,91304,"34.224377, -118.632656",34.224377,-118.632656,0,0,1,1,6,0,0,0,0,1,1,0,0,1,0,0,0,91.0,531.0,1,1,94,2283,Service dissatisfaction
49,1285-OKIPP,1,0,0,Mission Hills,91345,"34.266389, -118.459744",34.266389,-118.459744,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,79.9,79.9,1,1,98,3394,Lack of self-service on Website
50,7825-ECJRF,1,0,0,Santa Clarita,91350,"34.502432, -118.41459",34.502432,-118.41459,1,0,0,1,19,0,0,0,1,0,1,1,1,1,0,0,0,106.6,1934.45,1,1,71,3764,Network reliability
51,7841-TZDMQ,1,0,0,Sun Valley,91352,"34.231053, -118.338307",34.231053,-118.338307,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,3,46.0,84.5,1,1,76,2667,Don't know
52,9408-SSNVZ,1,0,0,Stevenson Ranch,91381,"34.364153, -118.615583",34.364153,-118.615583,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,70.15,268.35,1,1,67,2227,Don't know
53,0742-MOABM,1,0,0,Panorama City,91402,"34.223768, -118.445461",34.223768,-118.445461,0,0,1,0,4,0,0,1,0,0,0,1,0,0,0,1,1,50.05,179.35,1,1,82,3394,Don't know
54,2232-DMLXU,1,0,0,Van Nuys,91411,"34.17847, -118.459472",34.17847,-118.459472,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,55.2,55.2,1,1,81,3638,Poor expertise of online support
55,8937-RDTHP,1,0,0,Burbank,91504,"34.213049, -118.317651",34.213049,-118.317651,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,84.6,84.6,1,1,66,2484,Poor expertise of phone support
56,1251-KRREG,1,0,0,North Hollywood,91601,"34.1692, -118.372498",34.1692,-118.372498,0,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,1,54.4,114.1,1,1,81,2556,Price too high
57,0094-OIFMO,1,0,0,North Hollywood,91605,"34.207295, -118.400022",34.207295,-118.400022,1,1,0,1,11,0,0,0,0,1,0,0,1,1,0,0,0,95.0,1120.3,1,1,85,5980,Product dissatisfaction
58,9947-OTFQU,1,0,0,Covina,91722,"34.097345, -117.906736",34.097345,-117.906736,0,1,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,74.4,1074.3,1,1,86,4616,Service dissatisfaction
59,0322-YINQP,1,0,0,Covina,91723,"34.084747, -117.886844",34.084747,-117.886844,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,48.55,48.55,1,1,77,5687,Lack of self-service on Website
60,4629-NRXKX,1,0,0,El Monte,91731,"34.079934, -118.046695",34.079934,-118.046695,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,70.4,147.15,1,1,75,5687,Network reliability
61,9514-JDSKI,1,0,0,El Monte,91732,"34.074492, -118.01462",34.074492,-118.01462,0,1,1,0,1,1,2,1,0,1,0,0,1,0,0,1,0,40.2,40.2,1,1,65,5828,Limited range of services
62,4959-JOSRX,1,0,0,La Puente,91744,"34.031441, -117.936436",34.031441,-117.936436,1,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,3,44.6,80.55,1,1,99,4884,Lack of affordable download/upload speed
63,7273-TEFQD,1,0,0,La Puente,91746,"34.038983, -117.991372",34.038983,-117.991372,0,1,0,0,3,1,2,1,0,0,1,0,0,1,0,0,0,41.15,132.2,1,1,96,2314,Long distance charges
64,3606-TWKGI,1,0,0,Rowland Heights,91748,"33.976753, -117.897367",33.976753,-117.897367,0,1,0,0,13,0,1,0,0,1,1,0,1,1,0,0,0,106.9,1364.3,1,1,84,2494,Extra data charges
65,6323-AYBRX,1,0,0,Ontario,91762,"34.057256, -117.667677",34.057256,-117.667677,0,0,0,0,59,0,0,2,2,2,2,2,2,2,1,1,1,19.35,1099.6,1,1,83,5084,Price too high
66,4385-GZQXV,1,0,0,Ontario,91764,"34.074087, -117.605618",34.074087,-117.605618,1,1,0,0,16,0,0,0,0,0,0,1,1,1,0,0,0,94.45,1511.2,1,1,81,3810,Product dissatisfaction
67,6366-ZGQGL,1,0,0,Pomona,91766,"34.042286, -117.756106",34.042286,-117.756106,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,1,2,24.8,24.8,1,1,73,5087,Service dissatisfaction
68,5940-AHUHD,1,0,0,Pomona,91768,"34.067932, -117.785168",34.067932,-117.785168,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,70.6,70.6,1,1,69,3338,Lack of self-service on Website
69,6432-TWQLB,1,0,0,Rosemead,91770,"34.065108, -118.082791",34.065108,-118.082791,0,0,1,0,5,0,1,0,0,1,0,1,0,0,0,0,0,85.4,401.1,1,1,80,3676,Network reliability
70,4484-GLZOU,1,0,0,San Dimas,91773,"34.102119, -117.815532",34.102119,-117.815532,1,0,1,0,52,0,1,0,0,1,1,0,1,1,0,0,0,105.05,5624.85,1,1,65,4839,Don't know
71,9512-UIBFX,1,0,0,West Covina,91791,"34.061634, -117.893169",34.061634,-117.893169,0,0,1,0,18,0,0,0,0,0,1,0,1,1,0,1,1,95.15,1779.95,1,1,68,4643,Don't know
72,5583-SXDAG,1,0,0,Alhambra,91803,"34.074736, -118.145959",34.074736,-118.145959,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,70.0,70.0,1,1,97,4094,Don't know
73,3488-PGMQJ,1,0,0,Alpine,91901,"32.827184, -116.703729",32.827184,-116.703729,0,1,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,74.5,606.55,1,1,80,4345,Poor expertise of online support
74,3580-REOAC,1,0,0,Bonita,91902,"32.67117, -117.00232",32.67117,-117.00232,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,3,44.85,435.4,1,1,83,4061,Poor expertise of phone support
75,7534-BFESC,1,0,0,Boulevard,91905,"32.677097, -116.304991",32.677097,-116.304991,0,1,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0,76.1,1712.7,1,1,98,2018,Price too high
76,6390-DSAZX,1,0,0,Guatay,91931,"32.857946, -116.561917",32.857946,-116.561917,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,73.6,73.6,1,1,80,2565,Product dissatisfaction
77,8098-LLAZX,1,0,0,Jacumba,91934,"32.649787, -116.2237",32.649787,-116.2237,1,1,0,0,4,0,1,0,0,0,0,0,1,1,0,0,0,95.45,396.1,1,1,85,3677,Service dissatisfaction
78,0265-EDXBD,1,0,0,Mount Laguna,91948,"32.830852, -116.444601",32.830852,-116.444601,0,1,1,0,32,0,1,0,0,0,0,0,0,0,0,0,0,74.9,2303.35,1,1,69,4105,Lack of self-service on Website
79,7563-BIUPC,1,0,0,Borrego Springs,92004,"33.200369, -116.192313",33.200369,-116.192313,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,80.6,415.55,1,1,69,5715,Network reliability
80,2321-OMBXY,1,0,0,Carlsbad,92009,"33.098018, -117.258203",33.098018,-117.258203,1,0,1,0,38,0,0,1,1,1,0,1,1,1,2,1,3,80.3,3058.65,1,1,81,2071,Limited range of services
81,2840-XANRC,1,0,0,Del Mar,92014,"32.948262, -117.256086",32.948262,-117.256086,0,1,1,0,24,0,0,0,0,0,1,0,1,1,0,0,0,93.15,2231.05,1,1,73,2212,Lack of affordable download/upload speed
82,5020-ZSTTY,1,0,0,El Cajon,92020,"32.79697, -116.969082",32.79697,-116.969082,1,1,0,0,54,0,1,1,1,1,0,1,1,1,2,1,2,82.45,4350.1,1,1,83,4149,Long distance charges
83,5804-LEPIM,1,0,0,Escondido,92029,"33.079834, -117.134275",33.079834,-117.134275,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,70.35,139.05,1,1,73,2671,Extra data charges
84,0122-OAHPZ,1,0,0,Oceanside,92057,"33.254497, -117.285879",33.254497,-117.285879,1,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,73.85,511.25,1,1,67,2473,Price too high
85,2868-SNELZ,1,0,0,Pala,92059,"33.384345, -117.072619",33.384345,-117.072619,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,1,80.6,155.8,1,1,92,2683,Product dissatisfaction
86,4322-RCYMT,1,0,0,Palomar Mountain,92060,"33.309852, -116.823091",33.309852,-116.823091,0,0,1,0,68,0,1,1,0,1,1,1,0,1,2,0,2,75.8,5293.95,1,1,81,4903,Service dissatisfaction
87,6680-NENYN,1,0,0,Pauma Valley,92061,"33.313828, -116.940501",33.313828,-116.940501,1,0,0,0,43,0,1,0,0,1,1,0,1,1,1,0,0,104.6,4759.85,1,1,91,5250,Lack of self-service on Website
88,1343-EHPYB,1,0,0,Ranchita,92066,"33.215251, -116.53633",33.215251,-116.53633,0,0,1,0,63,0,1,0,0,1,1,0,1,1,0,0,0,103.4,6603.0,1,1,98,4352,Network reliability
89,2034-GDRCN,1,0,0,Valley Center,92082,"33.25283, -116.986079",33.25283,-116.986079,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,90.4,168.2,1,1,76,4157,Don't know
90,0219-YTZUE,1,0,0,San Diego,92103,"32.747484, -117.166877",32.747484,-117.166877,0,0,1,0,4,0,1,0,0,1,1,0,0,0,0,0,2,84.8,371.9,1,1,73,4939,Don't know
91,0623-IIHUG,1,0,0,San Diego,92104,"32.741499, -117.127409",32.741499,-117.127409,1,1,0,0,21,1,2,1,1,0,0,0,1,0,0,0,0,41.9,840.1,1,1,97,4778,Don't know
92,4572-DVCGN,1,0,0,San Diego,92105,"32.741859, -117.090353",32.741859,-117.090353,1,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,2,80.25,846.0,1,1,85,3598,Poor expertise of online support
93,9057-MSWCO,1,0,0,San Diego,92108,"32.774046, -117.142454",32.774046,-117.142454,0,1,1,0,27,1,2,1,1,0,0,0,0,0,0,1,3,30.75,805.1,1,1,91,2927,Poor expertise of phone support
94,1010-DIAUQ,1,0,0,San Diego,92116,"32.765299, -117.122565",32.765299,-117.122565,0,0,0,0,5,0,0,0,0,0,1,0,1,1,0,1,2,96.5,492.55,1,1,98,5383,Price too high
95,0259-GBZSH,1,0,0,San Diego,92122,"32.85723, -117.209774",32.85723,-117.209774,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,85.65,181.5,1,1,73,3878,Product dissatisfaction
96,9601-BRXPO,1,0,0,San Diego,92129,"32.961064, -117.134917",32.961064,-117.134917,1,0,1,0,25,0,1,0,0,0,1,1,1,1,0,0,2,104.95,2566.5,1,1,66,3642,Service dissatisfaction
97,6905-NIQIN,1,0,0,San Diego,92154,"32.578103, -117.012975",32.578103,-117.012975,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,50.65,50.65,1,1,76,2431,Don't know
98,5167-ZFFMM,1,0,0,Indio,92201,"33.713891, -116.237257",33.713891,-116.237257,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,3,90.85,90.85,1,1,81,3424,Network reliability
99,4895-TMWIR,1,0,0,Indian Wells,92210,"33.537646, -116.291089",33.537646,-116.291089,0,1,1,0,11,0,0,2,2,2,2,2,2,2,0,1,1,19.95,214.75,1,1,80,5888,Limited range of services
100,0533-BNWKF,1,0,0,Palm Desert,92211,"33.762759, -116.324817",33.762759,-116.324817,1,1,1,0,55,0,1,0,0,1,1,0,0,0,0,0,0,85.45,4874.7,1,1,100,5502,Lack of affordable download/upload speed
101,6599-CEBNN,1,0,0,Desert Hot Springs,92240,"33.948558, -116.516976",33.948558,-116.516976,1,0,0,0,34,0,0,0,0,1,0,0,0,0,0,0,3,73.95,2524.45,1,1,94,5795,Long distance charges
102,0979-PHULV,1,0,0,Holtville,92250,"32.811001, -115.152865",32.811001,-115.152865,0,0,1,0,69,0,1,0,0,0,1,0,1,1,0,0,3,99.45,7007.6,1,1,80,4020,Extra data charges
103,4800-VHZKI,1,0,0,Niland,92257,"33.345825, -115.596574",33.345825,-115.596574,1,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,1,19.9,19.9,1,1,92,3351,Price too high
104,7989-CHGTL,1,0,0,North Palm Springs,92258,"33.906496, -116.569499",33.906496,-116.569499,0,0,0,0,1,0,0,2,2,2,2,2,2,2,0,0,1,19.6,19.6,1,1,95,3448,Product dissatisfaction
105,0334-GDDSO,1,0,0,Ocotillo,92259,"32.698964, -115.886656",32.698964,-115.886656,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,81.35,233.7,1,1,73,2818,Service dissatisfaction
106,0578-SKVMF,1,0,0,Seeley,92273,"32.790282, -115.689559",32.790282,-115.689559,1,0,1,0,22,0,0,0,0,1,0,0,0,1,0,1,0,83.3,1845.9,1,1,88,3804,Lack of self-service on Website
107,5564-NEMQO,1,0,0,Thermal,92274,"33.53604, -116.119222",33.53604,-116.119222,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,75.3,75.3,1,1,67,4902,Network reliability
108,9063-ZGTUY,1,0,0,Adelanto,92301,"34.667815, -117.536183",34.667815,-117.536183,1,0,1,0,61,0,0,2,2,2,2,2,2,2,0,0,1,19.4,1182.55,1,1,82,4221,Don't know
109,2957-LOLHO,1,0,0,Apple Valley,92307,"34.55082, -117.122396",34.55082,-117.122396,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,2,45.4,518.9,1,1,68,2887,Don't know
110,7752-XUSCI,1,0,0,Crestline,92325,"34.248061, -117.29028",34.248061,-117.29028,1,0,0,0,60,0,1,0,0,1,1,0,1,1,0,0,0,105.9,6396.45,1,1,84,4105,Don't know
111,4110-PFEUZ,1,0,0,Daggett,92327,"34.875144, -116.821698",34.875144,-116.821698,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,69.55,69.55,1,1,73,2792,Competitor had better devices
112,0256-LTHVJ,1,0,0,Ludlow,92338,"34.702766, -116.093376",34.702766,-116.093376,1,0,1,0,28,0,0,0,0,0,0,0,0,1,0,0,0,81.05,2227.1,1,1,98,5201,Competitor had better devices
113,0880-TKATG,1,0,0,Lucerne Valley,92356,"34.508417, -116.856103",34.508417,-116.856103,0,0,1,0,4,0,1,0,0,0,1,0,1,1,0,1,0,101.15,385.9,1,1,84,4417,Competitor had better devices
114,3811-VBYBZ,1,0,0,Lytle Creek,92358,"34.238162, -117.534306",34.238162,-117.534306,0,0,0,0,7,0,1,0,0,1,0,0,1,1,0,0,0,99.8,673.25,1,1,98,2031,Competitor had better devices
115,4640-UHDOS,1,0,0,Phelan,92371,"34.441123, -117.537886",34.441123,-117.537886,1,0,1,0,13,0,0,1,0,0,0,0,0,1,0,1,0,55.95,734.35,1,1,91,4498,Competitor had better devices
116,3583-EKAPL,1,0,0,Redlands,92373,"34.003243, -117.138286",34.003243,-117.138286,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,55.0,55.0,1,1,71,4877,Competitor had better devices
117,9399-APLBT,1,0,0,Rialto,92377,"34.156758, -117.404686",34.156758,-117.404686,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,74.7,74.7,1,1,80,5980,Competitor had better devices
118,2359-KMGLI,1,0,0,Running Springs,92382,"34.186211, -117.07683",34.186211,-117.07683,0,0,0,0,24,0,1,0,0,1,0,0,0,0,0,0,0,80.25,1861.5,1,1,77,4418,Competitor had better devices
119,0306-JAELE,1,0,0,Tecopa,92389,"35.824572, -116.274755",35.824572,-116.274755,0,0,0,0,5,0,0,0,0,0,0,1,1,1,0,0,0,96.1,453.4,1,1,66,4192,Competitor had better devices
120,6227-HWPWX,1,0,0,Victorville,92392,"34.486835, -117.362274",34.486835,-117.362274,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,1,2,69.0,994.8,1,1,73,5671,Competitor had better devices
121,0447-BEMNG,1,0,0,Wrightwood,92397,"34.358321, -117.618263",34.358321,-117.618263,1,0,1,0,48,1,2,1,1,0,1,0,0,1,0,0,2,45.3,2145.0,1,1,65,4926,Price too high
122,5949-XIKAE,1,0,0,San Bernardino,92401,"34.105935, -117.2914",34.105935,-117.2914,1,0,1,0,8,0,0,0,0,1,0,0,1,0,0,0,0,83.55,680.05,1,1,65,2879,Product dissatisfaction
123,8372-JUXUI,1,0,0,San Bernardino,92410,"34.106922, -117.297553",34.106922,-117.297553,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,74.35,74.35,1,1,93,2814,Service dissatisfaction
124,0388-EOPEX,1,0,0,Riverside,92503,"33.890046, -117.455583",33.890046,-117.455583,1,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,74.4,139.4,1,1,77,4263,Lack of self-service on Website
